Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","China","CHN","","","","","","","","","","","","","","","","","","2111360000","2892800000","6553600000","7545600000.00004","5048250000","5802630000","4845050000","3915410000","4152900000","4964430000","6148070000","5210175000","5092700000","4889500000","4490720000","4232275000","4961254873","4867275000","4911725000","4689475000","3685540127","3655059873","3686175000","3485515000","4451650000","6611647500","8048752500","8449020000","9895770000","12262653000","16083037500","16777477500","36855375000","47632395000","51885590000","56392960000","40820505000","40871340000","60059600000","67883116000","76804660000","76335074000","95400720000","118458504000","114011064000","117150304000","148224688000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","France","FRA","1669284000","2130090000","2592023700","3182106800","3741684800","4722235200","5266535400","5263808000","4641263000","3567168000","3771006700","4391795800","6534781000.00003","11327147500","18824186988.6026","14155990483.3862","13612984069.317","16770504444.8374","23050132621.7307","41941414953.301","48252063272.622","32536378542.6078","37398418505.9559","31226738148.4399","25235133345.1219","26765775555.8056","31996151880.0135","39624807176.0413","33579998231.7103","32822862378.832","31513221984.6641","28943052711.1097","27277353834.7774","31975687930.3294","31369980066.552","31656463902.7762","30224044721.6551","23765639348.3659","29461499031.491","28225361250","26688890250","26888242500","33331409250","40575894334.5","42039241314","46607074461","55587515735.7","69777372917.4996","69688718749.9996","85152340762.4999","110052059716.5","119878835593","130291204992","94312353613.5001","94429800000.0003","83006480000","89741158500.0003","101541880000","100380109650","119281360000.001","148122298600","142577533500","141986748400","161591102400"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Germany","DEU","3022190800","3679220800","3686453190","3852415440","4262444160","4424944400","4314962610","4251632000","5433969100","4102841600","4249118480","5081455210","7616339500","13201722500","21935011000","16495223250","15848351750","19512760250","26812188000","48769024000.0002","56109788999.9996","37834845000","43488655800","36311933000","29344610600.0001","31124514000","37206643800","46077606200.0004","39048415499.9999","38167981999.9999","36645070000.0004","33656355200","31718734999.9999","37182066048.2005","36477734999.9999","36810864999.9997","35145215000","27621236951.8","34241003810.2497","32368389750","30606389550","30727998000","37971901500","46141174000","48347316000","56536191000.0004","69950520899.9997","91605780000.0004","95427230500.0001","119114962500","153682992000","167176014000","181434240000","131170050000","131218830000","115224120000","124449323600","140626169000","138853961000","164843428000","204439256600","196567159800.001","195500006850","222308158400"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Hong Kong SAR, China","HKG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87780000","80620800","75981000","26564199.3199997","26061000","25912250","24739750","19443400.6699982","19282599.3300018","19446750","18388150","18525500","22964250","27955750","29257524","34371000","42591900","55861250","58273250","72862500","94168500","102577000","111488000","80701500","80802000","71020000","76775300","86865500","85870550","102041000","126703700","121946700","121427450","138180800"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","India","IND","251536630.92578","248357094.860707","247791844.004694","247862500.361696","248145125.789702","281850886.234668","244694584.532287","244764119.793592","291352744.867941","244764119.793592","259853271.49678","303382345.073707","451283845.869432","780533308.148605","1296916568.87489","975295167.7464","937048298.42301","1213423397.68837","1889765010.3686","4382934653.65637","5065926487.37285","3415955519.4753","3926415287.66859","3278457938.81718","2693644065.78038","3072749722.70002","4084369929.42915","5058182355.68347","4286550942.81992","4189901104.37731","4116474191.00745","3989398337.80765","3781651164.65993","4475503618.1334","4522457199.3505","4942830003.0543","4719208151.8157","3697058651.3572","3305839080.0801","3338553884.6111","3156816928.9629","3180370054.817","3942382601.6365","4799297273.61859","5037855482.502","5900501969.231","7311791621.522","9589753444.14603","10003823757.776","19501156220.361","25203563280.66","27454041538.734","29839010529.361","21599211648.207","21626160200.621","19008067988.036","20549127279.673","23263644107.79","24741972043.174","31091517628.538","41140491854.031","44128295922.2871","45878769959.53","53283961046.8319"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Italy","ITA","2241091200","2234485500","2247846720","2348395520","2113767440","2411901120","2427019110","2413523200","3499655600","2972886400","3082165490","3594893850","5345942800","9258604500.00002","15382893000","11568100500","11114449500","13676004500","18786024000","34156544000","39301965000","26501325000","30461523000","25434986500","20554669300","21801417000","26061693900","32275431100","27351777750","26735071000","25668335000","23574865600","22218110750","26045025483.29","25551660750","25785009250","24618266750","19347924866.71","23991870566.37","22880117250","21634619050","21796218500","27018639750","32891400250","34527102000","40439277000","50111596571.4","65723680417.5","68561524489.5","85726539675.0001","110794162310.999","120687202062","131171459328","94949532909.0002","95067774000.0001","83558740000.0001","90330151100","102201798500","101031187850","120056567000","149073521900","143476662900","142865738150","162576929600"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Japan","JPN","251371600","288124550","289327500","290006360","305544000","329320240","331419420","340806400","426206800","415536000","568584550","847250970","1369065500","2369373000","3936961724.5648","2960637436.3014","2844534007.4268","3566751076.2455","5417504139.4055","12404726156.2203","14282394666.1951","9630622357.6125","11069764415.5802","9242974665.2306","7469486472.5835","7922549713.0548","9470717684.505","11728765492.6295","9939529112.47971","9715420290.32109","9327772597.9391","8567014001.63969","8073974592.89149","9464660447.03189","9285373631.58499","9369935312.746","8945956339.319","7030782990.19601","6972636817.86401","7031994116.41699","6737024612.98596","6802574726.31702","8432486392.20599","10265368190.075","10775868825.052","12621051843.04","15639771260.469","20512284549.97","21397972398.6","26755153760.8301","34578729757.1101","37666336007.2","40938460559.1001","29633639268.8899","29670542929.25","26078586654.23","28191936270.8398","31897063770.96","31531717533.4001","37469516485.2798","46525674737.5601","49504682993.23","49293891666.8101","56094971817.6101"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Portugal","PRT","559276000","444999000","472042200","498136000","524692800","578075200","646440300","702944000","1024874000","880000000","963024900","1147905300","1743214000","3091365000","5192271287.79719","3887193322.29491","3729079042.55148","3976650778.85125","5002321282.17082","11331210956.9663","13067611683.5725","8800247560.56392","10093268924.7191","7795706914.01289","6257191023.51825","6613593004.00276","7879833169.90047","9712350121.36899","6592542800.64942","6436163775.78088","6093703280.9813","5610579902.5833","5352185606.1215","6275192647.2487","6157062468.854","6213316218.432","5932811757.5193","4662830774.5945","5781491753.3959","5661326250.00005","5353421700.00002","5393685500.00001","6521847000","6937616167.25001","6509994000.00003","6885486000.00001","7819110000","10254291250","10697055250","13374075000","17284839000","18826707000","20462208000","14811736500","14831388000","13035880000","14091132300","15943962864","15761731700","18731377000","23260530000","22387230000","22291905000","25371644800"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Russian Federation","RUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3982676648.05","3225815250","3640864500","4981182500","4729389562.97","4241596252.62","3867871500.00004","3391927550","3760123500","4272036000","5234401250","5449158000","6380694000","8205615600","12071866250","14529173750","22692862500","35636452500","43462028000","51239552000","40089373500","46846415213.363","48207740000","59507732900","76646487000","87070174400","111209460000","139752290000","134687400000","135926250000","154680000000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Switzerland","CHE","2222508000","2570871000","2672334000","2826395600","2734443200","3052279200","2856372300","3106752000","3141243000","2657248000","2915981100","3626089300","5393839000","9339200000","15516552960.2778","11668659314.8682","11221549021.8143","13736508431.527","18820557172.0225","42637722442.8119","49091674570.3859","33102528654.3315","38049170672.1109","31770099827.9936","25674237947.4979","27231514138.2803","32552901763.4671","40314299676.8853","34164307875.3195","33393997460.0929","32061568633.7551","29446677062.0669","27751994148.5685","32532081730.2876","31915834230.8744","32207303036.6357","30749959007.8286","24166928670.4711","23967062680.9845","24171091677.7854","21348219010.7223","19543950037.7771","21121382641.8249","21910538203.0961","19071274936.9042","21278033018.7921","26367340331.474","30698115565.7723","29084690549.2951","36366313276.6413","46999195187.037","51195604353.208","55643034385.198","40277316684.618","40324643703.311","35442888420.917","38315458300","43351070500","42854531050","50924551000","63232710700","60858683699.9999","60599546950","68960468800"
