"SDRs per currency unit for the period  January 01, 1994 - August 06, 2024",,,,,,,
,,,,,,,
Date,Chinese yuan   (CNY)                     ,Euro   (EUR)                     ,Japanese yen   (JPY)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,,
3-Jan-1994,,,,,0.730116,,
4-Jan-1994,,,0.00646137,1.08302,0.730781,,
5-Jan-1994,,,0.00644055,1.08354,0.72907,,
6-Jan-1994,,,0.00647034,1.08332,0.729854,,
7-Jan-1994,,,0.00647892,1.08185,0.729203,,
10-Jan-1994,,,0.0065078,1.08542,0.727247,,
11-Jan-1994,,,0.00649162,1.08683,0.729658,,
12-Jan-1994,,,0.00649766,1.09137,0.729037,,
13-Jan-1994,,,0.00649053,1.09238,0.728887,,
14-Jan-1994,,,0.00652322,1.08714,0.728644,,
17-Jan-1994,,,0.00654845,1.08853,0.728843,,
18-Jan-1994,,,0.00656503,1.08882,0.728062,,
19-Jan-1994,,,0.00655108,1.08436,0.72717,,
20-Jan-1994,,,0.00654459,1.08791,0.729067,,
21-Jan-1994,,,0.0065181,1.08843,0.725139,,
24-Jan-1994,,,0.00650571,1.09024,0.729941,,
25-Jan-1994,,,0.00652896,1.08812,0.728958,,
26-Jan-1994,,,0.00659224,1.088,0.727124,,
27-Jan-1994,,,0.00662042,1.08419,0.725598,,
28-Jan-1994,,,0.00665629,1.08495,0.723539,,
31-Jan-1994,0.083251,,0.00659039,1.08505,0.724284,,
1-Feb-1994,,,0.00667153,1.08568,0.72186,,
2-Feb-1994,,,0.00666129,1.08047,0.721418,,
3-Feb-1994,,,0.00666911,1.08137,0.722598,,
4-Feb-1994,,,0.00667041,1.07765,0.723739,,
7-Feb-1994,,,0.00666759,1.07707,0.726767,,
8-Feb-1994,,,0.00669948,1.0729,0.726894,,
9-Feb-1994,,,0.00672432,1.06102,0.726227,,
10-Feb-1994,,,0.00672133,1.06142,0.727248,,
11-Feb-1994,,,,1.0607,0.72576,,
14-Feb-1994,,,0.00678084,1.05678,0.720125,,
15-Feb-1994,,,0.00700596,1.05482,0.716009,,
16-Feb-1994,,,0.00690571,1.0562,0.715777,,
17-Feb-1994,,,0.00690842,1.05762,0.716058,,
18-Feb-1994,,,0.00685452,1.05962,0.716297,,
